Incident ID,Incident Number,Incident Category
1,180909524,Non-Criminal
1,180973375,Burglary
1,180962378,Traffic Violation Arrest
1,180909104,Missing Person
2,186281277,Larceny Theft
1,186283502,Malicious Mischief
1,180909728,Recovered Vehicle
1,186295999,Larceny Theft
1,180938238,Disorderly Conduct
1,160227681,Warrant
1,180939872,Missing Person
1,186293200,Larceny Theft
1,180979583,Larceny Theft
1,180908720,Recovered Vehicle
1,180914589,Larceny Theft
1,186281653,Larceny Theft
1,186300598,Larceny Theft
1,180965742,Non-Criminal
1,180968564,Suspicious Occ
3,180983409,Larceny Theft
1,180922708,Lost Property
1,180930507,Courtesy Report
3,180969396,Larceny Theft
1,180942756,Weapons Carrying Etc
1,186297848,Larceny Theft
1,180983227,Non-Criminal
1,180916541,Other Miscellaneous
1,180965219,Non-Criminal
1,180911046,Offences Against The Family And Children
1,180919238,Larceny Theft
1,180971686,Robbery
1,186280495,Larceny Theft
1,180927043,Miscellaneous Investigation
1,180945368,Suspicious Occ
1,186293379,Malicious Mischief
1,180982053,Offences Against The Family And Children
1,180920291,Assault
1,180942217,Robbery
2,180971551,Other Offenses
1,180968780,Offences Against The Family And Children
1,180930723,Warrant
1,180931652,Assault
1,180942449,Robbery
1,180951042,Motor Vehicle Theft
1,180969192,Larceny Theft
1,180970519,Larceny Theft
1,186301223,Larceny Theft
2,180946532,Larceny Theft
1,180974436,Assault
1,180975202,Larceny Theft
1,180982699,Offences Against The Family And Children
1,180959109,Traffic Violation Arrest
1,190021469,Larceny Theft
1,196011268,Larceny Theft
1,180945954,Non-Criminal
1,180916193,Malicious Mischief
1,190001988,Juvenile Offenses
1,180914761,Burglary
1,180934311,Warrant
1,180981362,Motor Vehicle Theft
1,186299327,Larceny Theft
1,180968956,Lost Property
1,180918309,Assault
1,180979715,Lost Property
1,180929328,Missing Person
1,186287855,Larceny Theft
1,180950511,Larceny Theft
1,196001338,Larceny Theft
1,180930030,Other Miscellaneous
1,180963893,Missing Person
1,180943497,Assault
1,180917878,Non-Criminal
1,180923295,Malicious Mischief
1,186281716,Malicious Mischief
1,180966176,Motor Vehicle Theft
1,180948776,Other Miscellaneous
1,180971501,Fraud
1,186285821,Larceny Theft
1,186288869,Larceny Theft
1,180938686,Robbery
1,186282128,Larceny Theft
1,180950862,Recovered Vehicle
1,180978585,Disorderly Conduct
1,180969493,Larceny Theft
1,180917044,Warrant
1,186301988,Larceny Theft
1,186287162,Larceny Theft
1,180955527,Other Miscellaneous
1,186294189,Larceny Theft
1,186295325,Larceny Theft
1,186298636,Larceny Theft
1,186297876,Larceny Theft
1,180930632,Suspicious Occ
2,186285279,Larceny Theft
1,180926603,Forgery And Counterfeiting
1,180918387,Warrant
1,180968774,Other Miscellaneous
