Incident Date,Incident ID,Incident Category
2018/12/01,131,Larceny Theft
2018/12/28,16,Missing Person
2018/12/31,5,Offences Against The Family And Children
2018/12/16,8,Lost Property
2018/12/26,5,Fraud
2018/12/19,1,Courtesy Report
2018/12/11,12,Missing Person
2018/12/21,19,Assault
2018/12/09,1,Forgery And Counterfeiting
2018/12/22,2,Stolen Property
2018/12/18,12,Drug Offense
2018/12/30,16,Offences Against The Family And Children
2018/12/21,15,Malicious Mischief
2018/12/17,20,Burglary
2018/12/29,12,Recovered Vehicle
2018/12/12,8,Suspicious Occ
2018/12/23,6,Suspicious Occ
2018/12/06,11,Robbery
2018/12/14,2,Traffic Violation Arrest
2018/12/31,1,Arson
2018/12/23,1,Weapons Carrying Etc
2018/12/16,2,Miscellaneous Investigation
2018/12/27,4,Drug Offense
2018/12/28,1,Embezzlement
2018/12/22,27,Warrant
2018/12/08,13,Burglary
2018/12/10,2,Miscellaneous Investigation
2018/12/03,16,Recovered Vehicle
2018/12/11,19,Other Miscellaneous
2018/12/24,2,Stolen Property
2018/12/25,1,Stolen Property
2018/12/26,5,Disorderly Conduct
2018/12/09,25,Malicious Mischief
2018/12/28,24,Other Miscellaneous
2018/12/18,17,Motor Vehicle Theft
2018/12/02,1,Traffic Collision
2018/12/17,1,Courtesy Report
2018/12/10,11,Lost Property
2018/12/12,6,Other Offenses
2018/12/19,14,Burglary
2018/12/25,15,Warrant
2018/12/04,1,Homicide
2018/12/23,1,Other Offenses
2018/12/20,7,Traffic Violation Arrest
2018/12/24,12,Warrant
2018/12/07,1,Sex Offense
2018/12/11,19,Non-Criminal
2018/12/04,10,Robbery
2018/12/15,14,Warrant
2018/12/23,2,Other
2018/12/09,32,Assault
2018/12/28,31,Non-Criminal
2018/12/21,3,Forgery And Counterfeiting
2018/12/05,5,Offences Against The Family And Children
2018/12/27,17,Motor Vehicle Theft
2018/12/12,4,Other
2018/12/13,13,Burglary
2018/12/13,2,Arson
2018/12/08,11,Offences Against The Family And Children
2018/12/16,9,Robbery
2018/12/20,3,Stolen Property
2018/12/18,9,Disorderly Conduct
2018/12/22,1,Juvenile Offenses
2018/12/21,11,Missing Person
2018/12/11,18,Assault
2018/12/01,4,Other Offenses
2018/12/07,14,Recovered Vehicle
2018/12/01,5,Other
2018/12/09,26,Non-Criminal
2018/12/28,26,Assault
2018/12/26,7,Motor Vehicle Theft
2018/12/06,1,Miscellaneous Investigation
2018/12/14,1,Family Offense
2018/12/25,2,Traffic Violation Arrest
2018/12/24,3,Traffic Violation Arrest
2018/12/20,21,Warrant
2018/12/03,4,Sex Offense
2018/12/28,26,Malicious Mischief
2018/12/19,10,Offences Against The Family And Children
2018/12/31,2,Courtesy Report
2018/12/27,2,Disorderly Conduct
2018/12/11,24,Malicious Mischief
2018/12/20,5,Case Closure
2018/12/09,33,Other Miscellaneous
2018/12/05,20,Burglary
2018/12/06,15,Lost Property
2018/12/15,3,Traffic Violation Arrest
